Sl No,Accident_Index,Date,Day_of_Week,Time_of_Accident,Accident_Location_A,Accident_Location_A_Chainage_km,Accident_Location_A_Chainage_km_RoadSide,Nature_of_Accident_B1,Nature_of_Accident_B2,Nature_of_Accident_B3,Accident_Severity_C,Classification_of_Accident_C1,Classification_of_Accident_C2,Classification_of_Accident_C3,Causes_D1,Causes_D2,Causes_D3,Causes_D4,Causes_D5,Road_Feature_E,Road_Condition_F,Intersection_Type_G,Weather_Conditions_H,Vehicle_Type_Involved_J_V1,Vehicle_Type_Involved_J_V2,Vehicle_Type_Involved_J_V3,Vehicle_Type_Involved_J_V4,Number_of_Vehicles,Number_of_Casualties_Fatel,Number_of_Casualties_GrievousInjury,Number_of_Casualties_MinorInjury,Number_of_Casualties_NotInjured,Number_of_Casualties,Remarks
1508,106,42083,5,12:50,2,423.76,RHS,1,,,2,2,,,2,,,,,4,1,,1,1,6,,,2,,2,,,2,
1509,107,42084,6,14:16,2,461.16,LHS,6,,,3,3,,,3,,,,,4,1,,1,1,,,,1,,,1,,1,
1510,108,42084,6,06:25,2,412.2,RHS,6,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1511,109,42084,6,20:05,2,437.82,LHS,1,,,4,4,,,3,,,,,4,1,,,5,,,,1,,,,1,0,
1512,110,42085,7,21:40,2,492.3,RHS,2,,,2,2,3,,3,,,,,4,1,,1,5,3,,,2,,1,7,,8,
1513,111,42089,4,07:10,2,416.24,LHS,1,,,2,2,,,2,,,,,4,1,,1,5,,,,1,,1,,,1,
1514,112,42089,4,01:10,2,489.8,LHS,2,,,1,1,2,,4,,,,,4,1,,1,5,,,,1,1,1,,,2,
1515,113,42089,4,15:30,2,436.65,LHS,7h,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1516,114,42089,4,23:10,2,413.8,RHS,7h,,,4,4,,,3,,,,,4,1,,1,5,,,,1,,,,1,0,
1517,115,42090,5,15:21,2,408.16,LHS,1,,,2,2,,,2,,,,,4,1,,1,1,6,,,2,,2,,,2,
1518,116,42091,6,17:50,1,495.35,RHS,1,,,1,1,2,,2,,,,,4,1,,1,5,,,,1,1,2,,,3,
1519,117,42091,6,22:20,2,473.9,RHS,1,,,3,3,,,3,,,,,4,1,,1,3,,,,1,,,15,,15,
1520,118,42093,1,16:10,2,452.9,LHS,7h,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1521,119,42093,1,17:15,2,413.78,RHS,1,,,4,4,,,2,,,,,4,1,,1,1,,,,1,,,,1,0,
1522,120,42094,2,00:15,1,498.58,LHS,7h,,,3,3,,,3,,,,,4,1,,1,1,,,,1,,,1,,1,
1523,121,42095,3,23:20,1,494.85,RHS,1,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,1,,,1,
1524,122,42095,3,18:58,2,420.36,RHS,1,,,3,3,,,3,,,,,4,1,,1,1,6,,,2,,,1,,1,
1525,123,42096,4,11:30,2,402.98,RHS,1,,,3,3,,,2,,,,,4,1,,1,1,6,,,2,,,1,,1,
1526,124,42096,4,05:56,2,408.84,LHS,6,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1527,125,42097,5,23:05,2,472.8,RHS,6,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1528,126,42098,6,23:05,1,493.75,LHS,1,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,1,,,1,
1529,127,42100,1,17:20,2,506.75,LHS,6,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,1,,,1,
1530,128,42100,1,03:40,2,449.6,LHS,6,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1531,129,42100,1,22:10,2,503.45,RHS,1,,,2,2,,,2,,,,,4,1,,1,5,,,,1,,2,,,2,
1532,130,42101,2,04:25,2,429.82,LHS,2,,,2,2,3,,4,,,,,4,1,,1,1,5,,,2,,2,3,,5,
1533,131,42101,2,11:10,2,508.65,LHS,6,,,3,3,,,3,,,,,4,1,,1,6,,,,1,,,2,,2,
1534,132,42102,3,21:10,1,496.6,LHS,1,,,3,3,,,2,,,,,4,1,,1,1,5,,,2,,,2,,2,
1535,133,42103,4,03:50,2,507.3,RHS,2,,,1,1,,,3,,,,,4,1,,1,1,5,,,2,1,,,,1,
1536,134,42104,5,15:00,2,508.25,RHS,1,,,3,3,,,3,,,,,4,1,,1,6,5,,,2,,,1,,1,
1537,135,42104,5,23:20,1,456.85,RHS,2,,,1,1,2,,3,,,,,4,1,,1,6,1,,,2,1,1,,,2,
1538,136,42105,6,17:50,2,485.75,RHS,7h,,,2,2,,,2,,,,,4,1,,1,3,,,,1,,1,,,1,
1539,137,42105,6,04:30,2,483,RHS,1,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,2,,,2,
1540,138,42106,7,14:30,2,472.3,LHS,1,,,4,4,,,2,,,,,4,1,,1,5,1,,,2,,,,1,0,
1541,139,42106,7,03:50,1,491.2,LHS,6,,,3,3,,,2,,,,,4,1,,1,1,,,,1,,,6,,6,
1542,140,42108,2,07:40,2,492.85,RHS,6,,,2,2,,,2,,,,,4,1,,1,5,,,,1,,1,,,1,
1543,141,42108,2,14:40,1,498.4,LHS,1,,,2,2,,,3,,,,,4,1,,1,5,6,,,2,,1,,,1,
1544,142,42109,3,20:50,1,499.15,LHS,2,,,3,3,,,3,,,,,4,1,,1,6,,,,1,,,1,,1,
1545,143,42110,4,09:20,1,494.4,LHS,3,,,2,2,,,2,,,,,4,1,,1,5,,,,1,,1,,,1,
1546,144,42110,4,10:10,2,514.3,LHS,6,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,2,,2,
1547,145,42111,5,01:10,2,504.2,RHS,5,,,2,2,,,2,,,,,4,1,,1,5,,,,1,,2,,,2,
1548,146,42111,5,01:20,1,491.25,LHS,3,,,3,3,,,3,,,,,4,1,,1,6,,,,1,,,1,,1,
1549,147,42111,5,01:40,2,481.9,RHS,1,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1550,148,42111,5,05:40,2,404.22,RHS,5,,,3,3,,,3,,,,,4,1,,1,5,5,,,2,,,1,,1,
1551,149,42112,6,05:50,2,415.36,LHS,2,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1552,150,42113,7,03:10,1,494.8,RHS,1,,,2,2,,,3,,,,,4,1,,1,5,,,,1,,1,,,1,
1553,151,42113,7,12:35,1,497.75,LHS,7h,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,1,,,1,
1554,152,42115,2,15:20,1,496.25,LHS,1,,,3,2,,,2,,,,,4,1,,10,4,6,,,2,,,1,,1,
1555,153,42115,2,01:40,1,504.3,RHS,6,,,3,2,,,3,,,,,4,1,,10,5,,,,1,,,1,,1,
1556,154,42116,3,18:00,1,501.35,LHS,1,,,2,2,,,2,,,,,4,1,,2,1,6,,,2,,1,,,1,
1557,155,42117,4,22:46,2,451.2,RHS,7h,,,3,3,,,3,,,,,4,1,,3,5,,,,1,,,1,,1,
1558,156,42119,6,12:50,2,507.9,LHS,6,,,2,2,,,2,,,,,4,1,,3,1,,,,1,,2,,,2,
1559,157,42119,6,04:10,1,502,LHS,1,,,3,3,,,2,,,,,4,1,,3,5,,,,1,,,1,,1,
1560,158,42119,6,04:15,2,398.78,LHS,1,,,2,2,,,2,,,,,4,1,,3,5,,,,1,,1,,,1,
1561,159,42120,7,02:02,2,471.98,LHS,7h,,,3,3,,,2,,,,,4,1,,3,5,,,,1,,,1,,1,
1562,160,42121,1,17:30,2,403.08,RHS,4,,,4,4,,,2,,,,,4,1,,3,5,,,,1,,,,1,0,
1563,161,42121,1,22:30,2,500.7,RHS,1,,,3,3,,,2,,,,,4,1,,3,1,,,,1,,,4,,4,
1564,162,42121,1,08:10,1,499.3,LHS,1,,,3,3,,,2,,,,,4,1,,3,5,,,,1,,,1,,1,
1565,163,42122,2,18:10,1,492.9,RHS,1,,,3,3,,,2,,,,,4,1,,1,11,,,,1,,,1,,1,
1566,164,42123,3,00:50,2,482.9,LHS,1,,,2,2,,,2,,,,,4,1,,3,6,,,,1,,1,,,1,
1567,165,42123,3,02:00,2,500.3,RHS,7h,,,2,2,3,,2,,,,,4,1,,3,6,,,,1,,1,1,,2,
1568,166,42124,4,15:20,2,451.24,LHS,6,,,3,3,,,2,,,,,4,1,,10,6,,,,1,,,1,,1,
1569,167,42124,4,18:20,1,492.95,RHS,1,,,2,2,,,2,,,,,4,1,,10,8,,,,1,,1,,,1,
1570,168,42125,5,23:20,1,494.85,RHS,1,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,1,,,1,
1571,169,42125,5,18:58,2,420.36,RHS,1,,,3,3,,,3,,,,,4,1,,1,1,6,,,2,,,1,,1,
1572,170,42126,6,11:30,2,402.98,RHS,1,,,3,3,,,2,,,,,4,1,,10,1,6,,,2,,,1,,1,
1573,171,42126,6,23:05,2,407.7,RHS,1,,,4,4,,,3,,,,,4,1,,10,5,,,,1,,,,1,0,
1574,172,42126,6,21:20,1,501.35,LHS,1,,,2,2,,,2,,,,,4,1,,1,8,,,,1,,1,,,1,
1575,173,42127,7,21:00,2,487.35,LHS,6,,,3,3,,,6,,,,,4,1,,1,6,,,,1,,,1,,1,
1576,174,42128,1,13:30,2,428.2,LHS,1,,,1,1,2,,2,,,,,4,1,,10,6,,,,1,1,1,,,2,
1577,175,42130,3,22:20,1,496.5,RHS,1,,,3,3,,,2,,,,,4,1,,10,6,,,,1,,,1,,1,
1578,176,42130,3,09:15,2,480.48,LHS,7h,,,3,3,,,3,,,,,4,1,,10,1,,,,1,,,1,,1,
1579,177,42130,3,07:05,2,421.1,RHS,1,,,4,4,,,3,,,,,4,1,,10,5,,,,1,,,,1,0,
1580,178,42131,4,13:00,2,502,RHS,7h,,,4,4,,,2,,,,,4,1,,1,5,,,,1,,,,1,0,
1581,179,42132,5,17:30,2,458.9,RHS,7h,,,2,2,,,3,,,,,4,1,,1,6,,,,1,,1,,,1,
1582,180,42132,5,20:00,2,423.54,LHS,6,,,3,3,,,2,,,,,4,1,,1,6,,,,1,,,2,,2,
1583,181,42132,5,22:15,2,502.05,RHS,2,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1584,182,42133,6,22:40,2,509.417,LHS,1,,,3,3,,,2,,,,,4,1,,10,9,,,,1,,,1,,1,
1585,183,42133,6,22:17,1,502.6,RHS,6,,,4,4,,,2,,,,,4,1,,10,5,,,,1,,,,1,0,
1586,184,42134,7,23:20,2,454.8,RHS,7h,,,3,3,,,3,,,,,4,1,,10,6,,,,1,,,1,,1,
1587,185,42134,7,22:56,2,491.4,LHS,1,,,2,1,,,3,,,,,4,1,,10,6,,,,1,,1,,,1,
1588,186,42135,1,00:00,2,414,LHS,6,,,4,4,,,3,,,,,4,1,,10,1,,,,1,,,,1,0,
1589,187,42135,1,10:20,2,489.39,RHS,6,,,2,2,,,3,,,,,4,1,,10,1,,,,1,,1,,,1,
1590,188,42135,1,21:45,1,496.65,RHS,6,,,3,3,,,3,,,,,4,1,,10,6,,,,1,,,1,,1,
1591,189,42136,2,05:30,2,491.45,LHS,1,,,3,3,,,2,,,,,4,1,,10,8,,,,1,,,1,,1,
1592,190,42136,2,06:30,2,489.5,RHS,1,,,3,3,,,2,,,,,4,1,,10,8,,,,1,,,1,,1,
1593,191,42137,3,12:40,2,438.5,LHS,6,,,3,3,,,2,,,,,4,1,,1,6,,,,1,,,2,,2,
1594,192,42137,3,02:47,2,472.5,LHS,1,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1595,193,42138,4,04:30,2,398.24,LHS,1,,,2,2,3,,3,,,,,4,1,,10,5,,,,1,,2,2,,4,
1596,194,42139,5,23:22,2,457.8,RHS,1,,,4,4,,,3,,,,,4,1,,1,5,,,,1,,,,1,0,
1597,195,42140,6,21:40,2,434.48,LHS,6,,,2,2,,,2,,,,,4,1,,4,6,,,,1,,2,,,2,
1598,196,42140,6,18:00,1,495.1,LHS,6,,,3,3,,,2,,,,,4,1,,4,6,,,,1,,,1,,1,
1599,197,42141,7,09:45,2,478.85,LHS,1,,,3,3,,,3,,,,,4,1,,10,5,3,,,2,,,10,,10,
1600,198,42141,7,05:45,2,503.49,LHS,6,,,3,3,,,2,,,,,4,1,,1,6,,,,1,,,1,,1,
1601,199,42141,7,22:20,1,496.75,RHS,1,,,3,3,,,2,,,,,4,1,,1,5,,,,1,,,2,,2,
1602,200,42142,1,05:00,2,398.24,RHS,6,,,4,4,,,3,,,,,4,1,,1,5,,,,1,,,,1,0,
1603,201,42142,1,14:10,1,496.8,LHS,1,,,3,3,,,2,,,,,4,1,,10,8,,,,1,,,1,,1,
1604,202,42143,2,15:30,2,513.2,LHS,1,,,3,3,,,2,,,,,4,1,,10,5,1,,,2,,,2,,2,
1605,203,42143,2,06:00,1,494.95,RHS,6,,,4,4,,,2,,,,,4,1,,1,5,,,,1,,,,1,0,
1606,204,42143,2,09:20,2,423.48,LHS,1,,,3,3,,,3,,,,,4,1,,10,5,,,,1,,,1,,1,
1607,205,42144,3,01:00,2,491.1,RHS,6,,,2,2,,,1,,,,,4,1,,10,6,,,,1,,1,,,1,
1608,206,42144,3,05:10,1,495.95,RHS,6,,,2,3,,,3,,,,,4,1,,10,1,,,,1,,2,,,2,
1609,207,42145,4,02:00,2,487.9,RHS,6,,,4,4,,,3,,,,,4,1,,10,5,,,,1,,,,1,0,
1610,208,42147,6,19:55,2,414.32,RHS,6,,,3,3,,,3,,,,,4,1,,10,1,,,,1,,,3,,3,
1611,209,42147,6,05:10,2,493.3,LHS,6,,,3,3,,,3,,,,,4,1,,10,1,,,,1,,,2,,2,
1612,210,42149,1,12:45,1,497.5,LHS,1,,,3,3,,,2,,,,,4,1,,10,9,,,,1,,,1,,1,
1613,211,42149,1,18:20,1,494.35,LHS,2,,,1,1,,,3,,,,,4,1,,4,9,,,,1,1,,,,1,
1614,212,42149,1,00:05,2,508.2,RHS,6,,,2,2,,,3,,,,,4,1,,10,6,,,,1,,1,,,1,
1615,213,42150,2,09:32,2,464.7,LHS,6,,,3,3,,,2,,,,,4,1,,10,5,,,,1,,,1,,1,
1616,214,42151,3,05:10,2,439.2,RHS,1,,,2,2,3,,2,,,,,4,1,,1,6,,,,1,,1,1,,2,
1617,215,42151,3,16:45,2,491.12,RHS,6,,,4,4,,,2,,,,,4,1,,10,5,,,,1,,,,1,0,
1618,216,42152,4,02:00,2,483.96,LHS,1,,,2,2,3,,2,,,,,4,1,,10,5,,,,1,,1,1,,2,
1619,217,42152,4,10:30,1,494.35,LHS,1,,,2,2,,,2,,,,,4,1,,10,6,,,,1,,2,,,2,
1620,218,42153,5,07:55,2,413.58,RHS,7h,,,3,3,,,4,,,,,4,1,,10,5,,,,1,,,1,,1,
1621,219,42154,6,00:10,2,422.3,RHS,6,,,2,2,3,,3,,,,,4,1,,1,3,,,,1,,3,6,,9,
1622,220,42154,6,16:25,1,497.35,LHS,1,,,2,2,,,2,,,,,4,1,,10,6,,,,1,,1,,,1,
1623,221,42154,6,03:40,2,424.35,RHS,6,,,4,4,,,3,,,,,4,1,,10,5,,,,1,,,,1,0,
1624,222,42155,7,07:05,2,489.46,LHS,1,,,4,4,,,2,,,,,4,1,,10,5,,,,1,,,,1,0,
1625,223,42155,7,10:30,2,501.55,RHS,1,,,2,2,3,,2,,,,,4,1,,10,1,7,,,2,,1,1,,2,
1626,224,42156,1,23:30,2,477,RHS,7h,,,3,3,,,3,,,,,4,1,,10,5,5,,,2,,,1,,1,
1627,225,42156,1,14:40,2,421.45,RHS,1,,,4,4,,,3,,,,,4,1,,10,1,,,,1,,,,1,0,
1628,226,42157,2,05:10,2,399.25,RHS,6,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,2,,2,
1629,227,42157,2,02:35,2,501.9,LHS,1,,,2,2,,,3,,,,,4,1,,1,1,,,,1,,1,,,1,
1630,228,42158,3,09:20,1,495.35,LHS,7h,,,2,2,,,3,,,,,4,1,,10,6,,,,1,,1,,,1,
1631,229,42158,3,11:30,2,409.8,LHS,1,,,3,3,,,2,,,,,4,1,,10,1,,,,1,,,2,,2,
1632,230,42156,1,23:30,2,477,RHS,7h,,,3,3,,,3,,,,,4,1,,10,5,5,,,2,,,1,,1,
1633,231,42156,1,14:40,2,421.45,RHS,1,,,4,4,,,3,,,,,4,1,,10,1,,,,1,,,,1,0,
1634,232,42157,2,05:10,2,399.25,RHS,6,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,2,,2,
1635,233,42157,2,02:35,2,501.9,LHS,1,,,2,2,,,3,,,,,4,1,,1,1,,,,1,,1,,,1,
1636,234,42158,3,09:20,1,495.35,LHS,7h,,,2,2,,,3,,,,,4,1,,10,6,,,,1,,1,,,1,
1637,235,42158,3,11:30,2,409.8,LHS,1,,,3,3,,,2,,,,,4,1,,10,1,,,,1,,,2,,2,
1638,236,42159,4,11:25,2,433.38,RHS,1,,,2,2,,,3,,,,,4,1,,10,1,6,,,2,,3,,,3,
1639,237,42159,4,01:10,2,515.23,RHS,8,,,3,3,,,1,,,,,4,1,,10,5,,,,1,,,1,,1,
1640,238,42160,5,10:40,2,426.32,RHS,7h,,,2,2,,,3,,,,,4,1,,10,5,,,,1,,2,,,2,
1641,239,42160,5,02:45,1,494.7,LHS,6,,,3,3,,,2,,,,,4,1,,1,7,,,,1,,,2,,2,
1642,240,42161,6,16:50,2,430.2,RHS,3,,,1,1,2,,2,,,,,4,1,,10,4,,,,1,2,4,,,6,
1643,241,42161,6,03:30,2,438.84,RHS,5,,,2,2,,,3,,,,,4,1,,10,5,,,,1,,2,,,2,
1644,242,42161,6,15:00,1,492.85,RHS,1,,,4,4,,,3,,,,,4,1,,10,5,1,,,2,,,,1,0,
1645,243,42161,6,19:54,2,436.54,LHS,1,,,3,3,,,3,,,,,4,1,,10,6,,,,1,,,3,,3,
1646,244,42162,7,19:00,2,493.9,RHS,7h,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,1,,,1,
1647,245,42163,1,11:30,2,410.9,LHS,1,,,2,2,,,3,,,,,4,1,,10,1,5,,,2,,2,,,2,
1648,246,42163,1,23:02,2,467.95,RHS,1,,,2,2,,,3,,,,,4,1,,10,5,,,,1,,1,,,1,
1649,247,42164,2,00:00,1,456.85,RHS,6,,,2,2,,,5,,,,,4,1,,10,6,,,,1,,1,,,1,
1650,248,42164,2,01:40,2,505.9,LHS,7h,,,3,3,,,3,,,,,4,1,,10,10,,,,1,,,1,,1,
1651,249,42165,3,22:50,2,486.9,LHS,1,,,2,2,,,2,,,,,4,1,,10,9,,,,1,,1,,,1,
1652,250,42165,3,13:40,1,496.1,RHS,1,,,3,3,,,3,,,,,4,1,,10,6,,,,1,,,2,,2,
1653,251,42165,3,20:35,2,422.46,LHS,1,,,2,2,,,2,,,,,4,1,,10,9,,,,1,,1,,,1,
1654,252,42166,4,22:00,2,488.65,RHS,1,,,3,3,,,2,,,,,4,1,,10,9,,,,1,,,1,,1,
1655,253,42168,6,21:10,2,466.85,LHS,7h,,,2,2,,,3,,,,,4,1,,10,1,,,,1,,1,,,1,
1656,254,42169,7,16:45,2,406.46,LHS,1,,,2,2,,,2,,,,,4,1,,3,9,,,,1,,1,,,1,
1657,255,42170,1,21:50,1,501.6,LHS,1,,,2,2,,,4,,,,,4,1,,1,6,5,,,2,,1,,,1,
1658,256,42170,1,22:20,2,450.54,LHS,1,,,4,4,,,3,,,,,4,1,,1,5,,,,1,,,,1,0,
1659,257,42170,1,02:45,2,424.72,RHS,1,,,4,4,,,3,,,,,4,1,,1,5,5,,,2,,,,1,0,
1660,258,42173,4,00:05,2,469.18,LHS,1,,,2,2,3,,2,,,,,4,1,,1,1,,,,1,,1,2,,3,
1661,259,42174,5,17:25,2,487.85,RHS,1,,,3,3,,,3,,,,,4,1,,1,1,,,,1,,,1,,1,
1662,260,42174,5,17:45,2,484.95,LHS,1,,,4,4,,,2,,,,,4,1,,1,1,,,,1,,,,1,0,
1663,261,42174,5,23:30,2,506.85,LHS,2,,,1,1,,,2,,,,,4,1,,1,6,,,,1,1,,,,1,
1664,262,42174,5,11:05,2,474.35,LHS,1,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1665,263,42176,7,00:25,1,497,LHS,1,,,2,2,,,4,,,,,4,1,,1,9,,,,1,,1,,,1,
1666,264,42178,2,13:55,1,494.5,LHS,6,,,3,3,,,2,,,,,4,1,,2,6,,,,1,,,1,,1,
1667,265,42180,4,12:44,1,498.4,LHS,1,,,3,3,,,2,,,,,4,1,,2,6,,,,1,,,1,,1,
1668,266,42180,4,02:14,2,420.18,LHS,7h,,,3,3,,,3,,,,,4,1,,2,3,,,,1,,,1,,1,
1669,267,42182,6,07:20,2,462.08,LHS,1,,,2,2,,,3,,,,,4,1,,2,5,,,,1,,1,,,1,
1670,268,42183,7,04:00,2,513.25,LHS,2,,,1,1,,,3,,,,,4,1,,1,5,5,,,2,1,,,,1,
1671,269,42184,1,02:05,2,424.6,RHS,6,,,3,3,,,1,,,,,4,1,,1,5,,,,1,,,1,,1,
1672,270,42184,1,22:05,1,499.3,RHS,1,,,2,2,,,2,,,,,4,1,,1,6,,,,1,,1,,,1,
1673,271,42185,2,04:25,2,507.2,LHS,1,,,4,4,,,3,,,,,4,1,,1,5,,,,1,,,,1,0,
1674,272,42185,2,02:00,1,497.2,RHS,1,,,3,3,,,2,,,,,4,1,,1,1,,,,1,,,1,,1,
1675,273,42185,2,20:40,1,500.5,LHS,6,,,2,2,,,3,,,,,4,1,,1,6,,,,1,,1,,,1,
1676,274,42187,4,02:45,1,490.8,LHS,7h,,,3,3,,,4,,,,,4,1,,1,9,,,,1,,,2,,2,
1677,275,42187,4,08:20,2,468.52,LHS,7h,,,2,2,,,3,,,,,4,1,,1,6,9,,,2,,1,,,1,
1678,276,42187,4,10:10,1,496.7,RHS,1,,,3,3,,,3,,,,,4,1,,1,5,5,,,2,,,2,,2,
1679,277,42188,5,02:40,2,429.82,LHS,1,,,2,2,,,2,,,,,4,1,,1,1,,,,1,,3,,,3,
1680,278,42190,7,15:30,1,494.45,LHS,1,,,3,3,,,3,,,,,4,1,,1,1,,,,1,,,1,,1,
1681,279,42191,1,12:20,2,451.08,LHS,6,,,2,2,,,3,,,,,4,1,,1,1,,,,1,,1,,,1,
1682,280,42192,2,21:40,2,415.14,LHS,1,,,2,2,3,,2,,,,,4,1,,2,5,5,,,2,,1,3,,4,
1683,281,42193,3,17:20,1,501.7,LHS,7h,,,3,3,,,3,,,,,4,1,,2,1,,,,1,,,1,,1,
1684,282,42194,4,16:30,1,496.15,LHS,6,,,3,3,,,2,,,,,4,1,,2,6,,,,1,,,1,,1,
1685,283,42194,4,00:00,1,499.1,RHS,1,,,3,3,,,2,,,,,4,1,,2,1,6,,,2,,,1,,1,
1686,284,42197,7,20:30,1,493.1,LHS,1,,,2,2,,,3,,,,,4,1,,1,9,,,,1,,1,,,1,
1687,285,42198,1,07:20,2,469.2,RHS,2,,,1,1,3,,3,,,,,4,1,,1,5,9,,,2,2,,2,,4,
1688,286,42199,2,09:30,1,501.7,RHS,7h,,,4,4,,,2,,,,,4,1,,2,5,,,,1,,,,1,0,
1689,287,42200,3,14:00,2,480.35,LHS,4,,,1,1,,,3,,,,,4,1,,1,5,6,,,2,1,,,,1,
1690,288,42201,4,16:30,1,496.35,LHS,1,,,2,2,,,2,,,,,4,1,,1,7,6,,,2,,1,,,1,
1691,289,42203,6,17:06,2,413.7,RHS,1,,,4,4,,,2,,,,,4,1,,2,1,,,,1,,,,1,0,
1692,290,42203,6,19:30,2,487.9,RHS,1,,,2,2,,,2,,,,,4,1,,2,9,,,,1,,1,,,1,
1693,291,42204,7,21:25,1,498,LHS,6,,,1,1,2,,5,,,,,4,1,,1,6,,,,1,1,2,,,3,
1694,292,42204,7,07:30,2,453.18,LHS,1,,,2,2,,,2,,,,,4,1,,1,5,6,,,2,,2,,,2,
1695,293,42206,2,07:00,2,489.5,LHS,1,,,3,3,,,2,,,,,4,1,,2,9,,,,1,,,1,,1,
1696,294,42208,4,15:55,1,502,RHS,7h,,,3,3,,,2,,,,,4,1,,2,1,,,,1,,,1,,1,
1697,295,42208,4,05:15,1,502.05,RHS,7h,,,1,1,,,3,,,,,4,1,,2,5,,,,1,1,,,,1,
1698,296,42208,4,07:36,2,434.96,RHS,6,,,3,3,,,4,,,,,4,1,,3,9,,,,1,,,1,,1,
1699,297,42209,5,14:29,2,428.505,RHS,6,,,3,3,,,3,,,,,4,1,,3,6,,,,1,,,1,,1,
1700,298,42209,5,17:25,2,464.58,RHS,7h,,,3,3,,,2,,,,,4,1,,3,1,,,,1,,,1,,1,
1701,299,42210,6,08:55,2,469.88,RHS,1,,,2,2,,,2,,,,,4,1,,3,1,1,,,2,,1,,,1,
1702,300,42212,1,12:10,2,412.76,LHS,1,,,2,2,,,3,,,,,4,1,,2,7,,,,1,,2,,,2,
1703,301,42213,2,13:30,1,490,LHS,6,,,2,3,,,2,,,,,4,1,,2,6,,,,1,,1,,,1,
1704,302,42213,2,05:30,2,484.55,RHS,1,,,2,2,,,2,,,,,4,1,,2,5,,,,1,,1,,,1,
1705,303,42214,3,10:30,2,430.14,RHS,1,,,2,2,,,2,,,,,4,1,,2,6,,,,1,,1,,,1,
1706,304,42216,5,23:09,2,436.16,LHS,1,,,2,1,,,3,,,,,4,1,,5,6,,,,1,,1,,,1,
1707,305,42218,7,09:40,1,496.5,RHS,7h,,,2,2,,,2,,,,,4,1,,5,11,,,,1,,1,,,1,
1708,306,42219,1,12:55,1,489.3,LHS,6,,,2,2,3,,2,,,,,4,1,,2,6,,,,1,,1,1,,2,
1709,307,42220,2,00:31,2,422.5,LHS,2,,,2,2,,,3,,,,,4,1,,1,6,,,,1,,1,,,1,
1710,308,42221,3,16:51,2,436.75,LHS,1,,,4,4,,,3,,,,,4,1,,1,5,5,,,2,,,,1,0,
1711,309,42222,4,21:32,2,433.55,LHS,1,,,2,2,,,3,,,,,4,1,,1,5,6,,,2,,1,,,1,
1712,310,42224,6,04:25,1,495,LHS,5,,,3,3,,,1,,,,,4,1,,1,1,,,,1,,,1,,1,
1713,311,42224,6,20:15,2,431.7,LHS,2,,,3,3,,,3,,,,,4,1,,1,6,,,,1,,,2,,2,
1714,312,42224,6,14:05,1,490.05,RHS,1,,,2,2,,,2,,,,,4,1,,1,1,,,,1,,2,,,2,
1715,313,42225,7,08:00,1,504.35,LHS,3,,,1,1,2,,3,,,,,4,1,,1,5,,,,1,5,1,,,6,
1716,314,42226,1,00:30,2,417.86,RHS,1,,,4,4,,,3,,,,,4,1,,1,5,,,,1,,,,1,0,
1717,315,42227,2,20:30,2,424.38,LHS,7h,,,3,3,,,3,,,,,4,1,,1,6,,,,1,,,1,,1,
1718,316,42227,2,09:50,1,499.25,LHS,6,,,3,3,,,2,,,,,4,1,,1,6,,,,1,,,1,,1,
1719,317,42227,2,10:00,2,407.34,RHS,7h,,,1,1,,,2,,,,,4,1,,1,5,9,,,2,1,,,,1,
1720,318,42228,3,09:20,2,465.3,RHS,1,,,3,3,,,3,,,,,4,1,,1,5,,,,1,,,1,,1,
1721,319,42229,4,20:30,2,439.3,RHS,5,,,3,3,,,1,,,,,4,1,,1,1,,,,1,,,1,,1,
1722,320,42230,5,19:30,2,431.6,LHS,7h,,,2,2,,,2,,,,,4,1,,1,12,9,,,2,,1,,,1,
1723,321,42232,7,19:30,1,499,RHS,1,,,2,2,3,,2,,,,,4,1,,1,6,,,,1,,1,1,,2,
1724,322,42232,7,09:15,1,493.85,LHS,7h,,,2,2,,,1,,,,,4,1,,1,6,,,,1,,1,,,1,
